territorio,nome,gap_studio_F_M,gap_lavoro_F_M,ribaltamento,pendolari,km_capoluogo
083089,Santa Teresa di Riva,-2.522768993717783,-5.0559832845041015,2.5332142907863187,2494.0,28.457963700869392
083090,San Teodoro,15.02654867256637,-1.3884242221478758,16.414972894714246,318.0,81.3220083187817
083091,Santo Stefano di Camastra,8.119433198380566,-5.61732110611479,13.736754304495356,1073.0,102.51142541199981
083092,Saponara,1.1889012672329713,3.011655547887429,-1.8227542806544577,968.0,5.961141501424035
083093,Savoca,0.7716920760398978,10.541837055677881,-9.770144979637983,465.0,28.711017205943783
083094,Scaletta Zanclea,0.17898984639417392,-6.267763649962603,6.446753496356777,506.0,14.481173329533764
083095,Sinagra,4.334089796644868,-13.910930880477675,18.245020677122543,828.0,58.78771168365035
083096,Spadafora,-5.728219122700629,-5.57010284903653,-0.15811627366409908,1209.0,11.159857077937872
083097,Taormina,-0.7748981255093739,-1.7542848001666655,0.9793866746572917,3327.0,41.88554600336493
083098,Torregrotta,6.396772225197061,-8.083149479601857,14.479921704798919,1858.0,14.67250874935844
083099,Tortorici,1.335433371515844,-7.988792016784622,9.324225388300466,1955.0,61.47852114356688
083100,Tripi,14.193548387096769,3.6697247706421976,10.523823616454571,218.0,40.77756006678183
083101,Tusa,6.809685641461343,-3.596491228070178,10.40617686953152,582.0,113.62087013396791
083102,Ucria,17.003676470588232,-13.8306359699111,30.834312440499332,271.0,57.4338861126426
083103,Valdina,-2.1160069703758992,-8.654106804011931,6.538099833636032,353.0,13.617687101707103
083104,Venetico,-0.03758915965308063,4.370814774414441,-4.408403934067522,921.0,12.41996175517461
083105,Villafranca Tirrena,3.9221341485886043,-8.45249017152306,12.374624320111664,2184.0,6.414628672027711
083106,Terme Vigliatore,0.5624326946656808,4.016675436917971,-3.4542427422522906,2023.0,31.883868397670945
083107,Acquedolci,-0.32981847946458487,1.1573948439620096,-1.4872133234265945,1354.0,82.48245065466956
083108,Torrenova,-3.1413612565444993,5.348981330854443,-8.490342587398942,1208.0,72.46379093036742
084001,Agrigento,-0.6501534929026835,-1.1562024869640872,0.5060489940614037,14774.0,0.0
084002,Alessandria della Rocca,4.231692677070825,6.286995393091004,-2.0553027160201793,552.0,26.803107170624827
