territorio,nome,quota_fuori,atteso,residuo,km_capoluogo,pendolari,verso_palermo,fuori
083042,Longi,37.94871794871795,40.959741896882555,-3.011023948164606,68.98909613120034,390.0,1.0,148.0
083043,Malfa,20.74074074074074,41.94368715920749,-21.20294641846675,74.30298181096099,270.0,0.0,56.0
083044,Malvagna,64.92537313432835,52.234839145077586,12.690533989250767,49.01277908872338,134.0,2.0,87.0
083045,Mandanici,68.8,63.2662507286138,5.533749271386199,24.235233462873843,125.0,0.0,86.0
083046,Mazzarrà Sant'Andrea,47.97687861271676,51.94715174035535,-3.970273127638592,34.869360834405896,346.0,1.0,166.0
083047,Merì,79.08082408874802,55.257852336404085,23.822971752343932,22.30037004177285,631.0,1.0,499.0
083049,Milazzo,27.992525983884153,38.8703421227308,-10.877816138846644,24.57069549280199,8563.0,18.0,2397.0
083050,Militello Rosmarino,56.25,41.35089977504222,14.899100224957778,77.06236508828418,272.0,3.0,153.0
083051,Mirto,46.09053497942387,44.056900077557614,2.0336349018662574,67.23021348322494,243.0,0.0,112.0
083052,Mistretta,21.219931271477662,28.56432160363692,-7.344390332159257,103.59395312951426,1164.0,21.0,247.0
083053,Moio Alcantara,53.987730061349694,50.68988502439824,3.2978450369514576,50.408195534059736,163.0,1.0,88.0
083054,Monforte San Giorgio,63.8719512195122,65.91085708611446,-2.0389058666022635,10.851624993520556,656.0,0.0,419.0
083055,Mongiuffi Melia,62.99212598425197,56.721972851124676,6.270153133127295,37.159790002097694,127.0,0.0,80.0
083056,Montagnareale,72.38805970149254,45.443900057380866,26.94415964411167,50.67694012072946,402.0,4.0,291.0
083057,Montalbano Elicona,30.75356415478615,45.53345326839757,-14.779889113611421,46.69986180921738,491.0,2.0,151.0
083058,Motta Camastra,45.64102564102564,52.635197940160324,-6.994172299134682,41.40395065691195,195.0,0.0,89.0
083059,Motta d'Affermo,52.7027027027027,39.81238240494347,12.890320297759231,107.46586856300004,148.0,3.0,78.0
083060,Naso,54.904171364148816,37.115538502208196,17.78863286194062,65.17818985673046,887.0,3.0,487.0
083061,Nizza di Sicilia,69.3794506612411,52.85540890942773,16.524041751813364,22.102810341673745,983.0,0.0,682.0
083062,Novara di Sicilia,30.943396226415093,52.47196070862668,-21.52856448221159,37.26052820344875,265.0,1.0,82.0
083063,Oliveri,48.717948717948715,46.999771722554016,1.7181769953946997,41.86589209607267,507.0,0.0,247.0
083064,Pace del Mela,56.875,52.8838999091738,3.991100090826201,18.34182897096143,1600.0,2.0,910.0
083065,Pagliara,81.3953488372093,57.10433526690056,24.291013570308735,26.12383911296347,301.0,0.0,245.0
083066,Patti,24.587873707739593,34.44815964602811,-9.860285938288516,45.83625032657012,3579.0,13.0,880.0
083067,Pettineo,43.04635761589404,35.5287340362989,7.5176235795951385,108.91533413160884,302.0,9.0,130.0
083068,Piraino,60.07194244604317,38.068611629519566,22.0033308165236,56.166425362488575,1112.0,6.0,668.0
083069,Raccuja,46.27450980392157,46.98484035959284,-0.7103305556712698,54.37652597398992,255.0,1.0,118.0
083070,Reitano,49.685534591194966,39.745869556522855,9.93966503467211,105.04687975375565,159.0,5.0,79.0
083071,Roccafiorita,70.45454545454545,63.87481305911662,6.5797323954288345,34.578525836131305,44.0,0.0,31.0
083072,Roccalumera,65.06137865911236,51.47116909998939,13.590209559122975,23.55079455135219,1059.0,0.0,689.0
083073,Roccavaldina,79.53667953667954,70.27894769899792,9.257731837681618,11.556349120721475,259.0,0.0,206.0
083074,Roccella Valdemone,37.5,51.692412795542936,-14.192412795542936,51.695401130081194,128.0,1.0,48.0
083075,Rodì Milici,70.34220532319392,50.66815956305781,19.67404576013611,32.38080063865006,526.0,2.0,370.0
083076,Rometta,74.13499716392512,63.38272330673605,10.752273857189074,8.820379640355624,1763.0,4.0,1307.0
083077,San Filippo del Mela,65.28610354223433,50.322681967553955,14.963421574680375,20.63270355527845,1835.0,3.0,1198.0
083078,San Fratello,36.308805790108565,33.9742763535577,2.3345294365508664,82.33572080816442,829.0,4.0,301.0
083079,San Marco d'Alunzio,36.42495784148398,38.000526542682934,-1.5755687011989536,71.6016941838669,593.0,2.0,216.0
083080,San Pier Niceto,61.3126079447323,63.09496675616808,-1.7823588114357776,13.710159517671558,579.0,2.0,355.0
083081,San Piero Patti,31.47590361445783,42.48194556901726,-11.006041954559432,50.98071816873512,664.0,2.0,209.0
083082,San Salvatore di Fitalia,46.12403100775194,44.211781659192184,1.9122493485597545,65.05043437210854,258.0,0.0,119.0
083083,Santa Domenica Vittoria,55.2,46.83170466891842,8.368295331081583,55.34466545205599,250.0,2.0,138.0
083084,Sant'Agata di Militello,27.86784949525849,26.844894236148185,1.0229552591103044,78.49124547998969,3269.0,23.0,911.0
083085,Sant'Alessio Siculo,74.51456310679612,52.35772396050545,22.156839146290665,31.76124665374456,412.0,0.0,307.0
083086,Santa Lucia del Mela,59.40594059405941,52.9374544800776,6.468486113981811,20.305660787081028,1212.0,2.0,720.0
083087,Santa Marina Salina,21.304347826086957,43.534234473337,-22.229886647250044,71.06381113478224,230.0,0.0,49.0
083088,Sant'Angelo di Brolo,40.050377833753146,40.347804572759905,-0.29742673900675953,54.87332099481496,794.0,1.0,318.0
