territorio,nome,treno,oltre_30_min,quota_fuori,km_capoluogo,pendolari,pendolari_fuori
082080,Villafrati,0.0,66.16915422885572,47.020725388601036,27.8212366547571,772.0,603.0
082081,Scillato,0.0,30.232558139534884,43.884892086330936,62.685478453944974,139.0,86.0
082082,Blufi,0.0,27.63819095477387,60.56910569105691,79.66773502491456,246.0,199.0
083001,Alcara li Fusi,0.6430868167202572,63.02250803858521,43.86317907444668,74.15167948199151,497.0,311.0
083002,Alì,7.547169811320755,71.06918238993711,54.787234042553195,17.251831265115015,188.0,159.0
083003,Alì Terme,20.10135135135135,46.95945945945946,55.745341614906835,19.073308496430293,644.0,592.0
083004,Antillo,2.2598870056497176,75.70621468926554,51.12107623318386,34.61947511156112,223.0,177.0
083005,Barcellona Pozzo di Gotto,4.523564810489074,47.090226342384845,28.90427622344905,25.281365825445427,10687.0,3959.93
083006,Basicò,0.0,38.63636363636363,36.507936507936506,41.20936574372384,126.0,88.0
083007,Brolo,3.4917555771096023,27.837051406401553,38.29905503057254,59.380007452003575,1799.0,1031.0
083008,Capizzi,0.0,76.53061224489795,30.656934306569344,97.91685588293774,685.0,392.0
083009,Capo d'Orlando,9.103840682788052,33.78378378378378,27.995169082125603,69.02684374212687,4140.0,1406.0
083010,Capri Leone,1.2427506213753108,16.735708367854183,59.104046242774565,69.98106976175771,1384.0,1207.0
083011,Caronia,8.360128617363344,45.659163987138264,21.08843537414966,92.75347411822374,735.0,311.0
083012,Casalvecchio Siculo,7.317073170731708,40.24390243902439,61.47186147186147,29.75462594286811,231.0,246.0
083013,Castel di Lucio,1.932367149758454,62.80193236714976,39.31398416886544,111.6366064156377,379.0,207.0
083014,Castell'Umberto,1.2704174228675136,46.82395644283122,42.69788182831661,62.38846768434051,897.0,551.0
083015,Castelmola,3.3950617283950617,24.382716049382715,67.78115501519757,40.84257665720908,329.0,324.0
083016,Castroreale,1.4056224899598393,32.329317269076306,51.68,27.205157525733977,625.0,498.0
083017,Cesarò,0.0,62.458471760797345,26.121794871794872,82.16287717089757,624.0,301.0
083018,Condrò,0.9174311926605505,29.357798165137616,79.34782608695652,16.19302741923202,92.0,109.0
