territorio,anno,genere,eta,stato_civile,cittadinanza,valore
082006,2024,M,Y55-59,ALL,TOTAL,1914
082006,2001,M,Y5-9,ALL,TOTAL,1683
082006,2011,M,Y5-9,ALL,TOTAL,1523
082006,2018,M,Y5-9,ALL,TOTAL,1471
082006,2019,M,Y5-9,ALL,TOTAL,1439
082006,2020,M,Y5-9,ALL,TOTAL,1454
082006,2021,M,Y5-9,ALL,TOTAL,1423
082006,2022,M,Y5-9,ALL,TOTAL,1389
082006,2023,M,Y5-9,ALL,TOTAL,1396
082006,2024,M,Y5-9,ALL,TOTAL,1389
082006,2001,M,Y60-64,ALL,TOTAL,1182
082006,2011,M,Y60-64,ALL,TOTAL,1534
082006,2018,M,Y60-64,ALL,TOTAL,1539
082006,2019,M,Y60-64,ALL,TOTAL,1614
082006,2020,M,Y60-64,ALL,TOTAL,1629
082006,2021,M,Y60-64,ALL,TOTAL,1667
082006,2022,M,Y60-64,ALL,TOTAL,1755
082006,2023,M,Y60-64,ALL,TOTAL,1740
082006,2024,M,Y60-64,ALL,TOTAL,1753
082006,2001,M,Y65-69,ALL,TOTAL,1031
082006,2011,M,Y65-69,ALL,TOTAL,1131
082006,2018,M,Y65-69,ALL,TOTAL,1361
082006,2019,M,Y65-69,ALL,TOTAL,1369
082006,2020,M,Y65-69,ALL,TOTAL,1369
082006,2021,M,Y65-69,ALL,TOTAL,1422
082006,2022,M,Y65-69,ALL,TOTAL,1428
082006,2023,M,Y65-69,ALL,TOTAL,1487
082006,2024,M,Y65-69,ALL,TOTAL,1565
082006,2001,M,Y70-74,ALL,TOTAL,893
082006,2011,M,Y70-74,ALL,TOTAL,1093
082006,2018,M,Y70-74,ALL,TOTAL,1207
082006,2019,M,Y70-74,ALL,TOTAL,1278
082006,2020,M,Y70-74,ALL,TOTAL,1350
082006,2021,M,Y70-74,ALL,TOTAL,1316
082006,2022,M,Y70-74,ALL,TOTAL,1298
082006,2023,M,Y70-74,ALL,TOTAL,1277
082006,2024,M,Y70-74,ALL,TOTAL,1286
082006,2001,M,Y75-79,ALL,TOTAL,649
082006,2011,M,Y75-79,ALL,TOTAL,752
082006,2018,M,Y75-79,ALL,TOTAL,855
082006,2019,M,Y75-79,ALL,TOTAL,829
082006,2020,M,Y75-79,ALL,TOTAL,848
082006,2021,M,Y75-79,ALL,TOTAL,911
082006,2022,M,Y75-79,ALL,TOTAL,963
082006,2023,M,Y75-79,ALL,TOTAL,1043
082006,2024,M,Y75-79,ALL,TOTAL,1100
082006,2001,M,Y80-84,ALL,TOTAL,274
082006,2011,M,Y80-84,ALL,TOTAL,542
082006,2018,M,Y80-84,ALL,TOTAL,627
082006,2019,M,Y80-84,ALL,TOTAL,670
082006,2020,M,Y80-84,ALL,TOTAL,697
082006,2021,M,Y80-84,ALL,TOTAL,708
082006,2022,M,Y80-84,ALL,TOTAL,698
082006,2023,M,Y80-84,ALL,TOTAL,655
082006,2024,M,Y80-84,ALL,TOTAL,638
