origine,genere,motivo,luogo,verso_palermo,mezzo,orario,durata,stima
081001,F,studio,fuori,True,"corriera, autobus extra-urbano",prima delle 7:15,oltre 60 min,72.24
081001,F,studio,fuori,True,"motocicletta, ciclomotore, scooter",8:15-9:14,oltre 60 min,2.51
081001,F,studio,fuori,True,tram,prima delle 7:15,31-60 min,2.46
081001,F,studio,fuori,True,treno,prima delle 7:15,oltre 60 min,2.8
081001,M,lavoro,dentro,False,a piedi,7:15-8:14,16-30 min,17.27
081001,M,lavoro,dentro,False,a piedi,7:15-8:14,31-60 min,1.0
081001,M,lavoro,dentro,False,a piedi,7:15-8:14,fino a 15 min,359.5
081001,M,lavoro,dentro,False,a piedi,8:15-9:14,16-30 min,12.76
081001,M,lavoro,dentro,False,a piedi,8:15-9:14,fino a 15 min,267.58
081001,M,lavoro,dentro,False,a piedi,dopo le 9:14,16-30 min,9.05
081001,M,lavoro,dentro,False,a piedi,dopo le 9:14,fino a 15 min,36.01
081001,M,lavoro,dentro,False,a piedi,prima delle 7:15,16-30 min,11.46
081001,M,lavoro,dentro,False,a piedi,prima delle 7:15,fino a 15 min,143.73
081001,M,lavoro,dentro,False,altro mezzo,7:15-8:14,fino a 15 min,2.8
081001,M,lavoro,dentro,False,altro mezzo,8:15-9:14,16-30 min,1.0
081001,M,lavoro,dentro,False,altro mezzo,prima delle 7:15,16-30 min,2.41
081001,M,lavoro,dentro,False,altro mezzo,prima delle 7:15,31-60 min,3.06
081001,M,lavoro,dentro,False,altro mezzo,prima delle 7:15,fino a 15 min,2.41
081001,M,lavoro,dentro,False,altro mezzo,prima delle 7:15,oltre 60 min,2.27
081001,M,lavoro,dentro,False,auto privata (conducente),7:15-8:14,16-30 min,260.83
081001,M,lavoro,dentro,False,auto privata (conducente),7:15-8:14,31-60 min,33.4
081001,M,lavoro,dentro,False,auto privata (conducente),7:15-8:14,fino a 15 min,1557.58
081001,M,lavoro,dentro,False,auto privata (conducente),7:15-8:14,oltre 60 min,29.31
