territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081002,2021,M,Y_GE15,TOTAL,ALL,12,83.9964939326306
081002,2022,M,Y_GE15,TOTAL,ALL,12,74.3854185005027
081002,2023,M,Y_GE15,TOTAL,ALL,12,81.7211201741867
081002,2024,M,Y_GE15,TOTAL,ALL,12,63.71674482950053
081002,2018,M,Y_GE15,TOTAL,ALL,22,654.0
081002,2019,M,Y_GE15,TOTAL,ALL,22,656.0
081002,2021,M,Y_GE15,TOTAL,ALL,22,610.996493932631
081002,2022,M,Y_GE15,TOTAL,ALL,22,629.385418500503
081002,2023,M,Y_GE15,TOTAL,ALL,22,642.7211201741867
081002,2024,M,Y_GE15,TOTAL,ALL,22,638.7167448295005
081002,2018,M,Y_GE15,TOTAL,ALL,23,537.0
081002,2019,M,Y_GE15,TOTAL,ALL,23,530.0
081002,2021,M,Y_GE15,TOTAL,ALL,23,614.003506067369
081002,2022,M,Y_GE15,TOTAL,ALL,23,588.614581499497
081002,2023,M,Y_GE15,TOTAL,ALL,23,564.2788798258133
081002,2024,M,Y_GE15,TOTAL,ALL,23,560.2832551704995
081002,2018,M,Y_GE15,TOTAL,ALL,24,299.0
081002,2019,M,Y_GE15,TOTAL,ALL,24,299.0
081002,2021,M,Y_GE15,TOTAL,ALL,24,322.522685521098
081002,2022,M,Y_GE15,TOTAL,ALL,24,333.972741606872
081002,2023,M,Y_GE15,TOTAL,ALL,24,322.45436851938024
081002,2024,M,Y_GE15,TOTAL,ALL,24,316.9131284550645
081002,2018,M,Y_GE15,TOTAL,ALL,4,12.0
081002,2019,M,Y_GE15,TOTAL,ALL,4,11.0
081002,2021,M,Y_GE15,TOTAL,ALL,4,25.7632842182592
081002,2022,M,Y_GE15,TOTAL,ALL,4,22.3340874459166
081002,2023,M,Y_GE15,TOTAL,ALL,4,17.188433614725408
081002,2024,M,Y_GE15,TOTAL,ALL,4,19.015708171859156
081002,2018,M,Y_GE15,TOTAL,ALL,5,94.0
081002,2019,M,Y_GE15,TOTAL,ALL,5,94.0
081002,2021,M,Y_GE15,TOTAL,ALL,5,111.707141286104
081002,2022,M,Y_GE15,TOTAL,ALL,5,117.312990209636
081002,2023,M,Y_GE15,TOTAL,ALL,5,105.61520754384584
081002,2024,M,Y_GE15,TOTAL,ALL,5,98.1626414056409
081002,2018,M,Y_GE15,TOTAL,ALL,7,133.0
081002,2019,M,Y_GE15,TOTAL,ALL,7,126.0
081002,2021,M,Y_GE15,TOTAL,ALL,7,154.010395041908
081002,2022,M,Y_GE15,TOTAL,ALL,7,114.994762237072
081002,2023,M,Y_GE15,TOTAL,ALL,7,119.0208701478618
081002,2024,M,Y_GE15,TOTAL,ALL,7,126.19177713793496
081002,2018,M,Y_GE15,TOTAL,ALL,99,1191.0
081002,2019,M,Y_GE15,TOTAL,ALL,99,1186.0
081002,2021,M,Y_GE15,TOTAL,ALL,99,1225.0
081002,2022,M,Y_GE15,TOTAL,ALL,99,1218.0
081002,2023,M,Y_GE15,TOTAL,ALL,99,1207.0
081002,2024,M,Y_GE15,TOTAL,ALL,99,1199.0
081002,2018,T,Y_GE15,TOTAL,ALL,1,851.0
081002,2019,T,Y_GE15,TOTAL,ALL,1,859.0
081002,2021,T,Y_GE15,TOTAL,ALL,1,865.0
081002,2022,T,Y_GE15,TOTAL,ALL,1,894.0
081002,2023,T,Y_GE15,TOTAL,ALL,1,904.0
081002,2024,T,Y_GE15,TOTAL,ALL,1,954.0
081002,2018,T,Y_GE15,TOTAL,ALL,12,243.0
081002,2019,T,Y_GE15,TOTAL,ALL,12,235.0
081002,2021,T,Y_GE15,TOTAL,ALL,12,155.742064208417
081002,2022,T,Y_GE15,TOTAL,ALL,12,140.820889011113
081002,2023,T,Y_GE15,TOTAL,ALL,12,169.878764934452
081002,2024,T,Y_GE15,TOTAL,ALL,12,126.98237565308024
081002,2018,T,Y_GE15,TOTAL,ALL,22,1094.0
081002,2019,T,Y_GE15,TOTAL,ALL,22,1094.0
081002,2021,T,Y_GE15,TOTAL,ALL,22,1020.74206420842
081002,2022,T,Y_GE15,TOTAL,ALL,22,1034.82088901111
081002,2023,T,Y_GE15,TOTAL,ALL,22,1073.878764934452
081002,2024,T,Y_GE15,TOTAL,ALL,22,1080.9823756530802
081002,2018,T,Y_GE15,TOTAL,ALL,23,1387.0
081002,2019,T,Y_GE15,TOTAL,ALL,23,1347.0
081002,2021,T,Y_GE15,TOTAL,ALL,23,1452.25793579158
081002,2022,T,Y_GE15,TOTAL,ALL,23,1422.17911098889
081002,2023,T,Y_GE15,TOTAL,ALL,23,1361.121235065548
081002,2024,T,Y_GE15,TOTAL,ALL,23,1354.0176243469198
081002,2018,T,Y_GE15,TOTAL,ALL,24,581.0
081002,2019,T,Y_GE15,TOTAL,ALL,24,573.0
081002,2021,T,Y_GE15,TOTAL,ALL,24,584.736079276174
081002,2022,T,Y_GE15,TOTAL,ALL,24,604.532995004949
081002,2023,T,Y_GE15,TOTAL,ALL,24,577.294852753321
081002,2024,T,Y_GE15,TOTAL,ALL,24,561.2783199090414
081002,2018,T,Y_GE15,TOTAL,ALL,4,371.0
081002,2019,T,Y_GE15,TOTAL,ALL,4,346.0
081002,2021,T,Y_GE15,TOTAL,ALL,4,394.677243338717
081002,2022,T,Y_GE15,TOTAL,ALL,4,382.087513621779
