territorio,anno,eta,classe,genere,occupati,popolazione,tasso_occupazione
082053,2018,Y50-64,50-64,M,41877.0,65614.0,63.82326942420825
082053,2019,Y50-64,50-64,M,42323.0,65987.0,64.13839089517633
082053,2021,Y50-64,50-64,M,44032.0,66745.0,65.9704846805004
082053,2022,Y50-64,50-64,M,44470.0,67038.0,66.33551120260151
082053,2023,Y50-64,50-64,M,45356.0,67239.0,67.45489968619403
082053,2024,Y50-64,50-64,M,46867.0,67703.0,69.22440659941213
082053,2018,Y_GE15,15+ (totale),M,114890.0,264046.0,43.51135786946214
082053,2019,Y_GE15,15+ (totale),M,115437.0,262210.0,44.02463674154304
082053,2021,Y_GE15,15+ (totale),M,117685.0,258258.0,45.56877231295836
082053,2022,Y_GE15,15+ (totale),M,118787.0,257352.0,46.1574030899313
082053,2023,Y_GE15,15+ (totale),M,120099.0,257361.0,46.665578700735544
082053,2024,Y_GE15,15+ (totale),M,123110.0,257509.0,47.80803777732041
082053,2018,Y_GE65,65+,M,5554.0,56599.0,9.81289422074595
082053,2019,Y_GE65,65+,M,6207.0,57912.0,10.71798590965603
082053,2021,Y_GE65,65+,M,5702.0,60036.0,9.497634752481844
082053,2022,Y_GE65,65+,M,6286.0,60886.0,10.324212462635089
082053,2023,Y_GE65,65+,M,6232.0,61965.0,10.057290405874284
082053,2024,Y_GE65,65+,M,6770.0,63117.0,10.726111824072754
082053,2018,Y15-24,15-24,T,6565.0,70758.0,9.278102829362052
082053,2019,Y15-24,15-24,T,6694.0,69607.0,9.616848880141365
082053,2021,Y15-24,15-24,T,7199.0,66629.0,10.804604601599904
082053,2022,Y15-24,15-24,T,8038.0,66732.0,12.045195708205958
082053,2023,Y15-24,15-24,T,8328.0,66939.99999999999,12.440991933074399
082053,2024,Y15-24,15-24,T,8816.0,67035.0,13.15133885283807
082053,2018,Y25-49,25-49,T,104607.0,213663.0,48.95887448926581
082053,2019,Y25-49,25-49,T,103805.0,208126.0,49.87603663165582
082053,2021,Y25-49,25-49,T,106094.0,196762.0,53.919964220733675
082053,2022,Y25-49,25-49,T,105982.0,193079.0,54.89048524179222
082053,2023,Y25-49,25-49,T,107739.0,190079.0,56.68116940850909
082053,2024,Y25-49,25-49,T,109227.0,187007.0,58.407974033057585
082053,2018,Y50-64,50-64,T,69139.0,139974.0,49.39417320359495
082053,2019,Y50-64,50-64,T,70015.0,140601.0,49.79694312273739
082053,2021,Y50-64,50-64,T,74049.0,141147.0,52.4623265106591
082053,2022,Y50-64,50-64,T,74805.0,141674.0,52.80079619407937
082053,2023,Y50-64,50-64,T,76863.0,142123.0,54.08202753952562
082053,2024,Y50-64,50-64,T,79750.0,142955.0,55.786786051554685
082053,2018,Y_GE15,15+ (totale),T,188751.0,559345.0,33.745005318721006
082053,2019,Y_GE15,15+ (totale),T,189945.0,555781.0,34.17623128534441
082053,2021,Y_GE15,15+ (totale),T,196014.0,546317.0,35.87916905386433
082053,2022,Y_GE15,15+ (totale),T,198369.0,544898.0,36.40479502585805
082053,2023,Y_GE15,15+ (totale),T,202268.0,544523.0,37.14590568258825
082053,2024,Y_GE15,15+ (totale),T,208044.0,544796.0,38.187505047761
082053,2018,Y_GE65,65+,T,8440.0,134950.0,6.254168210448314
082053,2019,Y_GE65,65+,T,9431.0,137447.0,6.861553908051831
082053,2021,Y_GE65,65+,T,8672.0,141779.0,6.1165616910826
082053,2022,Y_GE65,65+,T,9544.0,143413.0,6.654905761681298
082053,2023,Y_GE65,65+,T,9338.0,145381.0,6.423122691410844
082053,2024,Y_GE65,65+,T,10251.0,147799.0,6.935770878016766
IT,2018,Y15-24,15-24,F,392972.0,2792434.0,14.072740841860542
IT,2019,Y15-24,15-24,F,404460.0,2792459.0,14.484008538710864
IT,2021,Y15-24,15-24,F,416292.0,2775037.0,15.001313496000234
IT,2022,Y15-24,15-24,F,458524.0,2796244.0,16.397853692310115
IT,2023,Y15-24,15-24,F,475260.0,2811640.0,16.903301987452164
IT,2024,Y15-24,15-24,F,487633.0,2822968.0,17.273770017938567
IT,2018,Y25-49,25-49,F,5740438.0,9615362.0,59.700695616036086
IT,2019,Y25-49,25-49,F,5709857.0,9417183.0,60.63232497446423
IT,2021,Y25-49,25-49,F,5645813.0,8974915.0,62.90659020168993
IT,2022,Y25-49,25-49,F,5655629.0,8851166.0,63.896993910180875
IT,2023,Y25-49,25-49,F,5747162.0,8706662.0,66.00878729414326
IT,2024,Y25-49,25-49,F,5740173.0,8559987.0,67.05819763511323
IT,2018,Y50-64,50-64,F,3448612.0,6717970.0,51.33413813994406
IT,2019,Y50-64,50-64,F,3558336.0,6815471.0,52.209685874974745
IT,2021,Y50-64,50-64,F,3707275.0,6935237.0,53.45563533012643
IT,2022,Y50-64,50-64,F,3790458.0,7022824.0,53.97341582246686
IT,2023,Y50-64,50-64,F,3978619.0,7092672.0,56.09478346101441
IT,2024,Y50-64,50-64,F,4123719.0,7151485.0,57.662415568235126
IT,2018,Y_GE15,15+ (totale),F,9885897.0,26863910.0,36.79991855243708
IT,2019,Y_GE15,15+ (totale),F,10032032.0,26839725.0,37.377551372080006
IT,2021,Y_GE15,15+ (totale),F,10067378.0,26573368.0,37.88521650699302
IT,2022,Y_GE15,15+ (totale),F,10243324.0,26615558.0,38.486226740014246
IT,2023,Y_GE15,15+ (totale),F,10556113.0,26635086.0,39.63235936238389
IT,2024,Y_GE15,15+ (totale),F,10742931.0,26663105.0,40.29137266646176
IT,2018,Y_GE65,65+,F,303875.0,7738144.0,3.9269752540143994
IT,2019,Y_GE65,65+,F,359379.0,7814612.0,4.5988079766468255
IT,2021,Y_GE65,65+,F,297998.0,7888179.0,3.7777793835560782
IT,2022,Y_GE65,65+,F,338713.0,7945324.0,4.263048303631167
IT,2023,Y_GE65,65+,F,355072.0,8024112.0,4.425062860538337
IT,2024,Y_GE65,65+,F,391406.0,8128665.0,4.815132620178098
IT,2018,Y15-24,15-24,M,678852.0,3043549.0,22.304618719790614
IT,2019,Y15-24,15-24,M,697746.0,3034485.0,22.99388528860746
IT,2021,Y15-24,15-24,M,746126.0,3014421.0,24.751884358555092
IT,2022,Y15-24,15-24,M,794188.0,3037208.0,26.1486207069124
IT,2023,Y15-24,15-24,M,809131.0,3059980.0,26.44236236838149
IT,2024,Y15-24,15-24,M,831827.0,3088740.0,26.930949189637197
IT,2018,Y25-49,25-49,M,7541825.0,9692781.0,77.808680501499
IT,2019,Y25-49,25-49,M,7481342.0,9503172.0,78.72468266385161
IT,2021,Y25-49,25-49,M,7326537.0,9128905.0,80.25647106635462
IT,2022,Y25-49,25-49,M,7291123.0,9022831.0,80.80748714012265
IT,2023,Y25-49,25-49,M,7289117.0,8937684.0,81.55487484229695
IT,2024,Y25-49,25-49,M,7259764.0,8843324.0,82.09315863582518
IT,2018,Y50-64,50-64,M,4608995.0,6389475.0,72.1341737779708
IT,2019,Y50-64,50-64,M,4719730.0,6492074.0,72.69987988430199
IT,2021,Y50-64,50-64,M,4875673.0,6660419.0,73.20369784543585
IT,2022,Y50-64,50-64,M,4964481.0,6741532.0,73.64024972365331
