territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082023,2024,F,Y25,25.0,ALL,FRGAPO,1
082023,2021,F,Y25,25.0,ALL,ITL,47
082023,2022,F,Y25,25.0,ALL,ITL,60
082023,2023,F,Y25,25.0,ALL,ITL,40
082023,2024,F,Y25,25.0,ALL,ITL,67
082023,2021,F,Y25,25.0,ALL,TOTAL,48
082023,2022,F,Y25,25.0,ALL,TOTAL,61
082023,2023,F,Y25,25.0,ALL,TOTAL,41
082023,2024,F,Y25,25.0,ALL,TOTAL,68
082023,2021,F,Y26,26.0,ALL,FRGAPO,1
082023,2022,F,Y26,26.0,ALL,FRGAPO,1
082023,2023,F,Y26,26.0,ALL,FRGAPO,1
082023,2024,F,Y26,26.0,ALL,FRGAPO,1
082023,2021,F,Y26,26.0,ALL,ITL,78
082023,2022,F,Y26,26.0,ALL,ITL,49
082023,2023,F,Y26,26.0,ALL,ITL,57
082023,2024,F,Y26,26.0,ALL,ITL,40
082023,2021,F,Y26,26.0,ALL,TOTAL,79
082023,2022,F,Y26,26.0,ALL,TOTAL,50
082023,2023,F,Y26,26.0,ALL,TOTAL,58
082023,2024,F,Y26,26.0,ALL,TOTAL,41
082023,2023,F,Y27,27.0,ALL,FRGAPO,2
082023,2024,F,Y27,27.0,ALL,FRGAPO,1
082023,2021,F,Y27,27.0,ALL,ITL,67
082023,2022,F,Y27,27.0,ALL,ITL,78
082023,2023,F,Y27,27.0,ALL,ITL,50
082023,2024,F,Y27,27.0,ALL,ITL,61
082023,2021,F,Y27,27.0,ALL,TOTAL,67
082023,2022,F,Y27,27.0,ALL,TOTAL,78
082023,2023,F,Y27,27.0,ALL,TOTAL,52
082023,2024,F,Y27,27.0,ALL,TOTAL,62
082023,2021,F,Y28,28.0,ALL,FRGAPO,1
082023,2024,F,Y28,28.0,ALL,FRGAPO,2
082023,2021,F,Y28,28.0,ALL,ITL,66
082023,2022,F,Y28,28.0,ALL,ITL,64
082023,2023,F,Y28,28.0,ALL,ITL,76
082023,2024,F,Y28,28.0,ALL,ITL,49
082023,2021,F,Y28,28.0,ALL,TOTAL,67
082023,2022,F,Y28,28.0,ALL,TOTAL,64
082023,2023,F,Y28,28.0,ALL,TOTAL,76
082023,2024,F,Y28,28.0,ALL,TOTAL,51
082023,2022,F,Y29,29.0,ALL,FRGAPO,1
082023,2024,F,Y29,29.0,ALL,FRGAPO,1
082023,2021,F,Y29,29.0,ALL,ITL,53
082023,2022,F,Y29,29.0,ALL,ITL,63
082023,2023,F,Y29,29.0,ALL,ITL,64
082023,2024,F,Y29,29.0,ALL,ITL,73
082023,2021,F,Y29,29.0,ALL,TOTAL,53
082023,2022,F,Y29,29.0,ALL,TOTAL,64
082023,2023,F,Y29,29.0,ALL,TOTAL,64
082023,2024,F,Y29,29.0,ALL,TOTAL,74
082023,2021,F,Y3,3.0,ALL,FRGAPO,2
082023,2023,F,Y3,3.0,ALL,FRGAPO,1
082023,2021,F,Y3,3.0,ALL,ITL,68
082023,2022,F,Y3,3.0,ALL,ITL,65
082023,2023,F,Y3,3.0,ALL,ITL,48
082023,2024,F,Y3,3.0,ALL,ITL,48
082023,2021,F,Y3,3.0,ALL,TOTAL,70
082023,2022,F,Y3,3.0,ALL,TOTAL,65
082023,2023,F,Y3,3.0,ALL,TOTAL,49
082023,2024,F,Y3,3.0,ALL,TOTAL,48
082023,2021,F,Y30,30.0,ALL,FRGAPO,1
082023,2023,F,Y30,30.0,ALL,FRGAPO,1
082023,2021,F,Y30,30.0,ALL,ITL,67
082023,2022,F,Y30,30.0,ALL,ITL,52
082023,2023,F,Y30,30.0,ALL,ITL,62
082023,2024,F,Y30,30.0,ALL,ITL,68
082023,2021,F,Y30,30.0,ALL,TOTAL,68
082023,2022,F,Y30,30.0,ALL,TOTAL,52
082023,2023,F,Y30,30.0,ALL,TOTAL,63
082023,2024,F,Y30,30.0,ALL,TOTAL,68
082023,2021,F,Y31,31.0,ALL,FRGAPO,2
082023,2022,F,Y31,31.0,ALL,FRGAPO,1
082023,2023,F,Y31,31.0,ALL,FRGAPO,2
082023,2024,F,Y31,31.0,ALL,FRGAPO,2
082023,2021,F,Y31,31.0,ALL,ITL,66
082023,2022,F,Y31,31.0,ALL,ITL,73
082023,2023,F,Y31,31.0,ALL,ITL,54
082023,2024,F,Y31,31.0,ALL,ITL,59
082023,2021,F,Y31,31.0,ALL,TOTAL,68
082023,2022,F,Y31,31.0,ALL,TOTAL,74
082023,2023,F,Y31,31.0,ALL,TOTAL,56
082023,2024,F,Y31,31.0,ALL,TOTAL,61
082023,2021,F,Y32,32.0,ALL,FRGAPO,2
082023,2022,F,Y32,32.0,ALL,FRGAPO,2
082023,2023,F,Y32,32.0,ALL,FRGAPO,1
082023,2024,F,Y32,32.0,ALL,FRGAPO,3
082023,2021,F,Y32,32.0,ALL,ITL,66
082023,2022,F,Y32,32.0,ALL,ITL,71
082023,2023,F,Y32,32.0,ALL,ITL,74
082023,2024,F,Y32,32.0,ALL,ITL,58
082023,2021,F,Y32,32.0,ALL,TOTAL,68
082023,2022,F,Y32,32.0,ALL,TOTAL,73
082023,2023,F,Y32,32.0,ALL,TOTAL,75
082023,2024,F,Y32,32.0,ALL,TOTAL,61
082023,2021,F,Y33,33.0,ALL,FRGAPO,1
082023,2022,F,Y33,33.0,ALL,FRGAPO,1
082023,2023,F,Y33,33.0,ALL,FRGAPO,3
082023,2024,F,Y33,33.0,ALL,FRGAPO,2
082023,2021,F,Y33,33.0,ALL,ITL,64
082023,2022,F,Y33,33.0,ALL,ITL,70
082023,2023,F,Y33,33.0,ALL,ITL,73
082023,2024,F,Y33,33.0,ALL,ITL,76
082023,2021,F,Y33,33.0,ALL,TOTAL,65
082023,2022,F,Y33,33.0,ALL,TOTAL,71
082023,2023,F,Y33,33.0,ALL,TOTAL,76
082023,2024,F,Y33,33.0,ALL,TOTAL,78
082023,2023,F,Y34,34.0,ALL,FRGAPO,1
082023,2024,F,Y34,34.0,ALL,FRGAPO,3
082023,2021,F,Y34,34.0,ALL,ITL,75
082023,2022,F,Y34,34.0,ALL,ITL,61
082023,2023,F,Y34,34.0,ALL,ITL,69
082023,2024,F,Y34,34.0,ALL,ITL,76
