territorio,anno,eta,genere,popolazione,almeno_diploma_%,solo_diploma_%,terziario_%,nome_territorio,ruolo
082053,2024,Y50-64,M,67703.0,51.5413,33.5879,17.9534,Palermo,confronto
082053,2024,Y50-64,T,142955.0,52.3305,32.9824,19.348,Palermo,confronto
082053,2024,Y9-24,F,50712.0,30.4721,26.7057,3.7664,Palermo,confronto
082053,2024,Y9-24,M,53226.0,28.7209,25.8915,2.8294,Palermo,confronto
082053,2024,Y9-24,T,103938.0,29.5753,26.2887,3.2866,Palermo,confronto
082053,2024,Y_GE65,F,84682.0,36.6678,22.9565,13.7113,Palermo,confronto
082053,2024,Y_GE65,M,63117.0,44.1197,26.0374,18.0823,Palermo,confronto
082053,2024,Y_GE65,T,147799.0,39.8501,24.2722,15.5779,Palermo,confronto
IT,2018,Y25-49,F,9615362.0,73.7325,45.0996,28.6329,Italia,confronto
IT,2018,Y25-49,M,9692781.0,66.9797,47.1597,19.82,Italia,confronto
IT,2018,Y25-49,T,19308143.0,70.3426,46.1338,24.2088,Italia,confronto
IT,2018,Y50-64,F,6717970.0,53.8086,39.8271,13.9815,Italia,confronto
IT,2018,Y50-64,M,6389475.0,51.7817,38.7688,13.0129,Italia,confronto
IT,2018,Y50-64,T,13107445.0,52.8206,39.3112,13.5094,Italia,confronto
IT,2018,Y9-24,F,4444114.0,32.6452,28.7134,3.9317,Italia,confronto
IT,2018,Y9-24,M,4796777.0,30.2569,27.4104,2.8464,Italia,confronto
IT,2018,Y9-24,T,9240891.0,31.4054,28.0371,3.3684,Italia,confronto
IT,2018,Y_GE65,F,7738144.0,23.5473,17.4378,6.1095,Italia,confronto
IT,2018,Y_GE65,M,5955071.0,33.1166,23.542,9.5746,Italia,confronto
IT,2018,Y_GE65,T,13693215.0,27.7089,20.0925,7.6164,Italia,confronto
IT,2019,Y25-49,F,9417183.0,74.764,45.5647,29.1993,Italia,confronto
IT,2019,Y25-49,M,9503172.0,68.0757,47.9662,20.1095,Italia,confronto
IT,2019,Y25-49,T,18920355.0,71.4047,46.7709,24.6338,Italia,confronto
IT,2019,Y50-64,F,6815471.0,54.881,40.4584,14.4225,Italia,confronto
IT,2019,Y50-64,M,6492074.0,52.2875,39.1538,13.1337,Italia,confronto
IT,2019,Y50-64,T,13307545.0,53.6158,39.822,13.7938,Italia,confronto
IT,2019,Y9-24,F,4435679.0,32.8053,29.1477,3.6576,Italia,confronto
IT,2019,Y9-24,M,4780471.0,30.4842,27.6974,2.7868,Italia,confronto
