territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081002,2018,F,Y15-24,TOTAL,ALL,1,13.0
081002,2019,F,Y15-24,TOTAL,ALL,1,14.0
081002,2021,F,Y15-24,TOTAL,ALL,1,19.0
081002,2022,F,Y15-24,TOTAL,ALL,1,20.0
081002,2023,F,Y15-24,TOTAL,ALL,1,27.0
081002,2024,F,Y15-24,TOTAL,ALL,1,22.0
081002,2018,F,Y15-24,TOTAL,ALL,12,16.0
081002,2019,F,Y15-24,TOTAL,ALL,12,14.0
081002,2021,F,Y15-24,TOTAL,ALL,12,13.4207116597768
081002,2022,F,Y15-24,TOTAL,ALL,12,9.89879321158782
081002,2023,F,Y15-24,TOTAL,ALL,12,10.003723318975188
081002,2024,F,Y15-24,TOTAL,ALL,12,8.43054781279346
081002,2018,F,Y15-24,TOTAL,ALL,22,29.0
081002,2019,F,Y15-24,TOTAL,ALL,22,28.0
081002,2021,F,Y15-24,TOTAL,ALL,22,32.4207116597768
081002,2022,F,Y15-24,TOTAL,ALL,22,29.8987932115878
081002,2023,F,Y15-24,TOTAL,ALL,22,37.00372331897519
081002,2024,F,Y15-24,TOTAL,ALL,22,30.43054781279346
081002,2018,F,Y15-24,TOTAL,ALL,23,123.0
081002,2019,F,Y15-24,TOTAL,ALL,23,124.0
081002,2021,F,Y15-24,TOTAL,ALL,23,118.579288340223
081002,2022,F,Y15-24,TOTAL,ALL,23,122.101206788412
081002,2023,F,Y15-24,TOTAL,ALL,23,117.9962766810248
081002,2024,F,Y15-24,TOTAL,ALL,23,117.56945218720656
081002,2018,F,Y15-24,TOTAL,ALL,24,0.0
081002,2019,F,Y15-24,TOTAL,ALL,24,0.0
081002,2021,F,Y15-24,TOTAL,ALL,24,0.121003615405915
081002,2022,F,Y15-24,TOTAL,ALL,24,0.210245409379062
081002,2023,F,Y15-24,TOTAL,ALL,24,0.1702976119751677
081002,2024,F,Y15-24,TOTAL,ALL,24,0.199669261082296
081002,2018,F,Y15-24,TOTAL,ALL,4,12.0
081002,2019,F,Y15-24,TOTAL,ALL,4,11.0
081002,2021,F,Y15-24,TOTAL,ALL,4,11.5539698180969
081002,2022,F,Y15-24,TOTAL,ALL,4,10.6071802091044
081002,2023,F,Y15-24,TOTAL,ALL,4,8.929178080718748
081002,2024,F,Y15-24,TOTAL,ALL,4,9.925665700182172
081002,2018,F,Y15-24,TOTAL,ALL,5,101.0
081002,2019,F,Y15-24,TOTAL,ALL,5,107.0
081002,2021,F,Y15-24,TOTAL,ALL,5,98.862669957683
081002,2022,F,Y15-24,TOTAL,ALL,5,103.848828606455
081002,2023,F,Y15-24,TOTAL,ALL,5,102.28154102888244
081002,2024,F,Y15-24,TOTAL,ALL,5,100.47922117925673
081002,2018,F,Y15-24,TOTAL,ALL,7,10.0
081002,2019,F,Y15-24,TOTAL,ALL,7,6.0
081002,2021,F,Y15-24,TOTAL,ALL,7,8.04164494903731
081002,2022,F,Y15-24,TOTAL,ALL,7,7.43495256347376
081002,2023,F,Y15-24,TOTAL,ALL,7,6.615259959448456
081002,2024,F,Y15-24,TOTAL,ALL,7,6.964896046685388
081002,2018,F,Y15-24,TOTAL,ALL,99,152.0
081002,2019,F,Y15-24,TOTAL,ALL,99,152.0
081002,2021,F,Y15-24,TOTAL,ALL,99,151.0
081002,2022,F,Y15-24,TOTAL,ALL,99,152.0
081002,2023,F,Y15-24,TOTAL,ALL,99,155.0
081002,2024,F,Y15-24,TOTAL,ALL,99,148.00000000000003
081002,2018,M,Y15-24,TOTAL,ALL,1,26.0
081002,2019,M,Y15-24,TOTAL,ALL,1,25.0
081002,2021,M,Y15-24,TOTAL,ALL,1,21.0
081002,2022,M,Y15-24,TOTAL,ALL,1,30.0
