territorio,nome_territorio,anno,genere,stato,quota,persone,destinazione
IT,Italia,2022,T,studenti,63.6,3712846.9,dentro lavoro o studio
IT,Italia,2023,F,studenti,68.4,1922487.9,dentro lavoro o studio
IT,Italia,2023,M,studenti,58.8,1799996.9,dentro lavoro o studio
IT,Italia,2023,T,studenti,63.4,3722484.8,dentro lavoro o studio
IT,Italia,2024,F,studenti,67.8,1913562.7,dentro lavoro o studio
IT,Italia,2024,M,studenti,57.4,1771763.9,dentro lavoro o studio
IT,Italia,2024,T,studenti,62.3,3685326.6,dentro lavoro o studio
ITG1,Sicilia,2018,F,studenti,60.1,155078.0,dentro lavoro o studio
ITG1,Sicilia,2018,M,studenti,52.3,146415.0,dentro lavoro o studio
ITG1,Sicilia,2018,T,studenti,56.0,301493.0,dentro lavoro o studio
ITG1,Sicilia,2019,F,studenti,63.0,160253.0,dentro lavoro o studio
ITG1,Sicilia,2019,M,studenti,54.9,150764.0,dentro lavoro o studio
ITG1,Sicilia,2019,T,studenti,58.8,311017.0,dentro lavoro o studio
ITG1,Sicilia,2021,F,studenti,66.0,162345.9,dentro lavoro o studio
ITG1,Sicilia,2021,M,studenti,57.2,152729.9,dentro lavoro o studio
ITG1,Sicilia,2021,T,studenti,61.4,315075.8,dentro lavoro o studio
ITG1,Sicilia,2022,F,studenti,67.1,164837.9,dentro lavoro o studio
ITG1,Sicilia,2022,M,studenti,58.4,155484.0,dentro lavoro o studio
ITG1,Sicilia,2022,T,studenti,62.6,320321.9,dentro lavoro o studio
ITG1,Sicilia,2023,F,studenti,67.6,165432.7,dentro lavoro o studio
ITG1,Sicilia,2023,M,studenti,58.6,155610.1,dentro lavoro o studio
ITG1,Sicilia,2023,T,studenti,62.9,321042.9,dentro lavoro o studio
ITG1,Sicilia,2024,F,studenti,67.8,164862.2,dentro lavoro o studio
ITG1,Sicilia,2024,M,studenti,57.0,151500.1,dentro lavoro o studio
ITG1,Sicilia,2024,T,studenti,62.2,316362.3,dentro lavoro o studio
082006,Bagheria,2018,F,casalinghe/i,12.4,376.0,fuori e non in cerca
082006,Bagheria,2018,M,casalinghe/i,0.8,25.0,fuori e non in cerca
082006,Bagheria,2018,T,casalinghe/i,6.4,401.0,fuori e non in cerca
082006,Bagheria,2019,F,casalinghe/i,10.9,324.0,fuori e non in cerca
082006,Bagheria,2019,M,casalinghe/i,0.9,28.0,fuori e non in cerca
082006,Bagheria,2019,T,casalinghe/i,5.7,352.0,fuori e non in cerca
082006,Bagheria,2021,F,casalinghe/i,14.8,421.4,fuori e non in cerca
082006,Bagheria,2021,M,casalinghe/i,1.5,47.0,fuori e non in cerca
082006,Bagheria,2021,T,casalinghe/i,8.0,468.4,fuori e non in cerca
082006,Bagheria,2022,F,casalinghe/i,12.8,364.1,fuori e non in cerca
082006,Bagheria,2022,M,casalinghe/i,1.4,41.2,fuori e non in cerca
082006,Bagheria,2022,T,casalinghe/i,6.9,405.3,fuori e non in cerca
082006,Bagheria,2023,F,casalinghe/i,14.6,421.1,fuori e non in cerca
082006,Bagheria,2023,M,casalinghe/i,1.8,55.4,fuori e non in cerca
082006,Bagheria,2023,T,casalinghe/i,8.1,476.4,fuori e non in cerca
082006,Bagheria,2024,F,casalinghe/i,13.4,386.8,fuori e non in cerca
082006,Bagheria,2024,M,casalinghe/i,1.7,50.2,fuori e non in cerca
082006,Bagheria,2024,T,casalinghe/i,7.4,437.1,fuori e non in cerca
082053,Palermo,2018,F,casalinghe/i,9.9,3401.0,fuori e non in cerca
082053,Palermo,2018,M,casalinghe/i,0.7,238.0,fuori e non in cerca
082053,Palermo,2018,T,casalinghe/i,5.1,3639.0,fuori e non in cerca
082053,Palermo,2019,F,casalinghe/i,9.7,3258.0,fuori e non in cerca
082053,Palermo,2019,M,casalinghe/i,0.8,294.0,fuori e non in cerca
082053,Palermo,2019,T,casalinghe/i,5.1,3552.0,fuori e non in cerca
082053,Palermo,2021,F,casalinghe/i,12.5,4020.0,fuori e non in cerca
082053,Palermo,2021,M,casalinghe/i,1.4,495.3,fuori e non in cerca
082053,Palermo,2021,T,casalinghe/i,6.8,4515.3,fuori e non in cerca
082053,Palermo,2022,F,casalinghe/i,10.2,3314.5,fuori e non in cerca
082053,Palermo,2022,M,casalinghe/i,1.1,364.8,fuori e non in cerca
082053,Palermo,2022,T,casalinghe/i,5.5,3679.3,fuori e non in cerca
082053,Palermo,2023,F,casalinghe/i,10.9,3537.8,fuori e non in cerca
082053,Palermo,2023,M,casalinghe/i,1.4,491.5,fuori e non in cerca
082053,Palermo,2023,T,casalinghe/i,6.0,4029.3,fuori e non in cerca
082053,Palermo,2024,F,casalinghe/i,11.3,3701.1,fuori e non in cerca
082053,Palermo,2024,M,casalinghe/i,1.4,479.7,fuori e non in cerca
082053,Palermo,2024,T,casalinghe/i,6.2,4180.8,fuori e non in cerca
IT,Italia,2018,F,casalinghe/i,5.0,138881.0,fuori e non in cerca
IT,Italia,2018,M,casalinghe/i,0.3,9723.0,fuori e non in cerca
IT,Italia,2018,T,casalinghe/i,2.5,148604.0,fuori e non in cerca
IT,Italia,2019,F,casalinghe/i,4.6,127675.0,fuori e non in cerca
IT,Italia,2019,M,casalinghe/i,0.4,10717.0,fuori e non in cerca
IT,Italia,2019,T,casalinghe/i,2.4,138392.0,fuori e non in cerca
IT,Italia,2021,F,casalinghe/i,5.7,158426.3,fuori e non in cerca
IT,Italia,2021,M,casalinghe/i,0.6,17943.0,fuori e non in cerca
IT,Italia,2021,T,casalinghe/i,3.0,176369.3,fuori e non in cerca
IT,Italia,2022,F,casalinghe/i,4.6,128820.5,fuori e non in cerca
IT,Italia,2022,M,casalinghe/i,0.4,13462.9,fuori e non in cerca
IT,Italia,2022,T,casalinghe/i,2.4,142283.4,fuori e non in cerca
IT,Italia,2023,F,casalinghe/i,4.4,123759.4,fuori e non in cerca
IT,Italia,2023,M,casalinghe/i,0.5,15237.9,fuori e non in cerca
IT,Italia,2023,T,casalinghe/i,2.4,138997.3,fuori e non in cerca
IT,Italia,2024,F,casalinghe/i,4.6,129451.7,fuori e non in cerca
IT,Italia,2024,M,casalinghe/i,0.6,17417.1,fuori e non in cerca
IT,Italia,2024,T,casalinghe/i,2.5,146868.8,fuori e non in cerca
ITG1,Sicilia,2018,F,casalinghe/i,9.9,25680.0,fuori e non in cerca
ITG1,Sicilia,2018,M,casalinghe/i,0.7,1849.0,fuori e non in cerca
ITG1,Sicilia,2018,T,casalinghe/i,5.1,27529.0,fuori e non in cerca
ITG1,Sicilia,2019,F,casalinghe/i,9.1,23165.0,fuori e non in cerca
ITG1,Sicilia,2019,M,casalinghe/i,0.8,2165.0,fuori e non in cerca
ITG1,Sicilia,2019,T,casalinghe/i,4.8,25330.0,fuori e non in cerca
ITG1,Sicilia,2021,F,casalinghe/i,12.0,29609.1,fuori e non in cerca
ITG1,Sicilia,2021,M,casalinghe/i,1.4,3807.0,fuori e non in cerca
ITG1,Sicilia,2021,T,casalinghe/i,6.5,33416.1,fuori e non in cerca
ITG1,Sicilia,2022,F,casalinghe/i,10.0,24611.9,fuori e non in cerca
ITG1,Sicilia,2022,M,casalinghe/i,1.0,2730.3,fuori e non in cerca
ITG1,Sicilia,2022,T,casalinghe/i,5.3,27342.2,fuori e non in cerca
ITG1,Sicilia,2023,F,casalinghe/i,9.9,24324.0,fuori e non in cerca
ITG1,Sicilia,2023,M,casalinghe/i,1.2,3288.6,fuori e non in cerca
ITG1,Sicilia,2023,T,casalinghe/i,5.4,27612.6,fuori e non in cerca
ITG1,Sicilia,2024,F,casalinghe/i,10.1,24486.6,fuori e non in cerca
ITG1,Sicilia,2024,M,casalinghe/i,1.2,3294.8,fuori e non in cerca
ITG1,Sicilia,2024,T,casalinghe/i,5.5,27781.4,fuori e non in cerca
082006,Bagheria,2018,F,altra condizione,7.9,241.0,fuori e non in cerca
082006,Bagheria,2018,M,altra condizione,17.9,573.0,fuori e non in cerca
082006,Bagheria,2018,T,altra condizione,13.0,814.0,fuori e non in cerca
082006,Bagheria,2019,F,altra condizione,4.7,141.0,fuori e non in cerca
082006,Bagheria,2019,M,altra condizione,12.3,389.0,fuori e non in cerca
082006,Bagheria,2019,T,altra condizione,8.6,530.0,fuori e non in cerca
082006,Bagheria,2021,F,altra condizione,6.1,174.4,fuori e non in cerca
082006,Bagheria,2021,M,altra condizione,15.7,477.1,fuori e non in cerca
082006,Bagheria,2021,T,altra condizione,11.1,651.5,fuori e non in cerca
082006,Bagheria,2022,F,altra condizione,5.8,164.0,fuori e non in cerca
082006,Bagheria,2022,M,altra condizione,14.0,426.2,fuori e non in cerca
082006,Bagheria,2022,T,altra condizione,10.0,590.2,fuori e non in cerca
082006,Bagheria,2023,F,altra condizione,6.1,175.6,fuori e non in cerca
082006,Bagheria,2023,M,altra condizione,15.8,474.0,fuori e non in cerca
082006,Bagheria,2023,T,altra condizione,11.0,649.6,fuori e non in cerca
082006,Bagheria,2024,F,altra condizione,6.4,183.1,fuori e non in cerca
082006,Bagheria,2024,M,altra condizione,16.1,485.3,fuori e non in cerca
082006,Bagheria,2024,T,altra condizione,11.3,668.3,fuori e non in cerca
082053,Palermo,2018,F,altra condizione,5.3,1808.0,fuori e non in cerca
082053,Palermo,2018,M,altra condizione,12.2,4435.0,fuori e non in cerca
082053,Palermo,2018,T,altra condizione,8.8,6243.0,fuori e non in cerca
082053,Palermo,2019,F,altra condizione,3.8,1293.0,fuori e non in cerca
082053,Palermo,2019,M,altra condizione,10.2,3660.0,fuori e non in cerca
082053,Palermo,2019,T,altra condizione,7.1,4953.0,fuori e non in cerca
082053,Palermo,2021,F,altra condizione,4.6,1498.0,fuori e non in cerca
082053,Palermo,2021,M,altra condizione,12.0,4138.5,fuori e non in cerca
082053,Palermo,2021,T,altra condizione,8.5,5636.5,fuori e non in cerca
082053,Palermo,2022,F,altra condizione,4.8,1553.4,fuori e non in cerca
082053,Palermo,2022,M,altra condizione,11.1,3788.6,fuori e non in cerca
082053,Palermo,2022,T,altra condizione,8.0,5342.0,fuori e non in cerca
082053,Palermo,2023,F,altra condizione,4.4,1418.6,fuori e non in cerca
082053,Palermo,2023,M,altra condizione,11.2,3849.5,fuori e non in cerca
082053,Palermo,2023,T,altra condizione,7.9,5268.1,fuori e non in cerca
