territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082053,2021,F,Y45,45.0,ALL,ITL,4409
082053,2022,F,Y45,45.0,ALL,ITL,4255
082053,2023,F,Y45,45.0,ALL,ITL,4084
082053,2024,F,Y45,45.0,ALL,ITL,4105
082053,2021,F,Y45,45.0,ALL,TOTAL,4690
082053,2022,F,Y45,45.0,ALL,TOTAL,4523
082053,2023,F,Y45,45.0,ALL,TOTAL,4345
082053,2024,F,Y45,45.0,ALL,TOTAL,4383
082053,2021,F,Y46,46.0,ALL,FRGAPO,263
082053,2022,F,Y46,46.0,ALL,FRGAPO,280
082053,2023,F,Y46,46.0,ALL,FRGAPO,254
082053,2024,F,Y46,46.0,ALL,FRGAPO,255
082053,2021,F,Y46,46.0,ALL,ITL,4640
082053,2022,F,Y46,46.0,ALL,ITL,4421
082053,2023,F,Y46,46.0,ALL,ITL,4250
082053,2024,F,Y46,46.0,ALL,ITL,4099
082053,2021,F,Y46,46.0,ALL,TOTAL,4903
082053,2022,F,Y46,46.0,ALL,TOTAL,4701
082053,2023,F,Y46,46.0,ALL,TOTAL,4504
082053,2024,F,Y46,46.0,ALL,TOTAL,4354
082053,2021,F,Y47,47.0,ALL,FRGAPO,239
082053,2022,F,Y47,47.0,ALL,FRGAPO,262
082053,2023,F,Y47,47.0,ALL,FRGAPO,271
082053,2024,F,Y47,47.0,ALL,FRGAPO,255
082053,2021,F,Y47,47.0,ALL,ITL,4709
082053,2022,F,Y47,47.0,ALL,ITL,4648
082053,2023,F,Y47,47.0,ALL,ITL,4432
082053,2024,F,Y47,47.0,ALL,ITL,4257
082053,2021,F,Y47,47.0,ALL,TOTAL,4948
082053,2022,F,Y47,47.0,ALL,TOTAL,4910
082053,2023,F,Y47,47.0,ALL,TOTAL,4703
082053,2024,F,Y47,47.0,ALL,TOTAL,4512
082053,2021,F,Y48,48.0,ALL,FRGAPO,226
082053,2022,F,Y48,48.0,ALL,FRGAPO,238
082053,2023,F,Y48,48.0,ALL,FRGAPO,256
082053,2024,F,Y48,48.0,ALL,FRGAPO,259
082053,2021,F,Y48,48.0,ALL,ITL,4608
082053,2022,F,Y48,48.0,ALL,ITL,4722
082053,2023,F,Y48,48.0,ALL,ITL,4649
082053,2024,F,Y48,48.0,ALL,ITL,4438
082053,2021,F,Y48,48.0,ALL,TOTAL,4834
082053,2022,F,Y48,48.0,ALL,TOTAL,4960
082053,2023,F,Y48,48.0,ALL,TOTAL,4905
082053,2024,F,Y48,48.0,ALL,TOTAL,4697
082053,2021,F,Y49,49.0,ALL,FRGAPO,234
082053,2022,F,Y49,49.0,ALL,FRGAPO,226
082053,2023,F,Y49,49.0,ALL,FRGAPO,221
082053,2024,F,Y49,49.0,ALL,FRGAPO,255
082053,2021,F,Y49,49.0,ALL,ITL,4688
082053,2022,F,Y49,49.0,ALL,ITL,4598
082053,2023,F,Y49,49.0,ALL,ITL,4721
082053,2024,F,Y49,49.0,ALL,ITL,4645
082053,2021,F,Y49,49.0,ALL,TOTAL,4922
082053,2022,F,Y49,49.0,ALL,TOTAL,4824
082053,2023,F,Y49,49.0,ALL,TOTAL,4942
082053,2024,F,Y49,49.0,ALL,TOTAL,4900
082053,2021,F,Y5,5.0,ALL,FRGAPO,153
082053,2022,F,Y5,5.0,ALL,FRGAPO,162
082053,2023,F,Y5,5.0,ALL,FRGAPO,165
082053,2024,F,Y5,5.0,ALL,FRGAPO,136
082053,2021,F,Y5,5.0,ALL,ITL,2565
082053,2022,F,Y5,5.0,ALL,ITL,2649
082053,2023,F,Y5,5.0,ALL,ITL,2531
082053,2024,F,Y5,5.0,ALL,ITL,2511
082053,2021,F,Y5,5.0,ALL,TOTAL,2718
082053,2022,F,Y5,5.0,ALL,TOTAL,2811
082053,2023,F,Y5,5.0,ALL,TOTAL,2696
082053,2024,F,Y5,5.0,ALL,TOTAL,2647
082053,2021,F,Y50,50.0,ALL,FRGAPO,213
082053,2022,F,Y50,50.0,ALL,FRGAPO,230
082053,2023,F,Y50,50.0,ALL,FRGAPO,223
082053,2024,F,Y50,50.0,ALL,FRGAPO,222
082053,2021,F,Y50,50.0,ALL,ITL,4904
082053,2022,F,Y50,50.0,ALL,ITL,4699
082053,2023,F,Y50,50.0,ALL,ITL,4589
082053,2024,F,Y50,50.0,ALL,ITL,4727
082053,2021,F,Y50,50.0,ALL,TOTAL,5117
082053,2022,F,Y50,50.0,ALL,TOTAL,4929
082053,2023,F,Y50,50.0,ALL,TOTAL,4812
082053,2024,F,Y50,50.0,ALL,TOTAL,4949
082053,2021,F,Y51,51.0,ALL,FRGAPO,237
082053,2022,F,Y51,51.0,ALL,FRGAPO,215
082053,2023,F,Y51,51.0,ALL,FRGAPO,229
082053,2024,F,Y51,51.0,ALL,FRGAPO,212
082053,2021,F,Y51,51.0,ALL,ITL,4647
082053,2022,F,Y51,51.0,ALL,ITL,4902
082053,2023,F,Y51,51.0,ALL,ITL,4719
082053,2024,F,Y51,51.0,ALL,ITL,4605
082053,2021,F,Y51,51.0,ALL,TOTAL,4884
082053,2022,F,Y51,51.0,ALL,TOTAL,5117
082053,2023,F,Y51,51.0,ALL,TOTAL,4948
082053,2024,F,Y51,51.0,ALL,TOTAL,4817
082053,2021,F,Y52,52.0,ALL,FRGAPO,232
082053,2022,F,Y52,52.0,ALL,FRGAPO,229
082053,2023,F,Y52,52.0,ALL,FRGAPO,205
082053,2024,F,Y52,52.0,ALL,FRGAPO,234
082053,2021,F,Y52,52.0,ALL,ITL,4889
082053,2022,F,Y52,52.0,ALL,ITL,4638
082053,2023,F,Y52,52.0,ALL,ITL,4913
082053,2024,F,Y52,52.0,ALL,ITL,4719
082053,2021,F,Y52,52.0,ALL,TOTAL,5121
082053,2022,F,Y52,52.0,ALL,TOTAL,4867
082053,2023,F,Y52,52.0,ALL,TOTAL,5118
082053,2024,F,Y52,52.0,ALL,TOTAL,4953
082053,2021,F,Y53,53.0,ALL,FRGAPO,261
082053,2022,F,Y53,53.0,ALL,FRGAPO,236
082053,2023,F,Y53,53.0,ALL,FRGAPO,220
082053,2024,F,Y53,53.0,ALL,FRGAPO,197
082053,2021,F,Y53,53.0,ALL,ITL,4886
