territorio,anno,genere,eta,eta_anni,stato_civile,valore
082006,2024,M,Y18,18.0,2,1
082006,2025,M,Y18,18.0,2,0
082006,2019,M,Y18,18.0,3,0
082006,2020,M,Y18,18.0,3,0
082006,2021,M,Y18,18.0,3,0
082006,2022,M,Y18,18.0,3,0
082006,2023,M,Y18,18.0,3,0
082006,2024,M,Y18,18.0,3,0
082006,2025,M,Y18,18.0,3,0
082006,2019,M,Y18,18.0,4,0
082006,2020,M,Y18,18.0,4,0
082006,2021,M,Y18,18.0,4,0
082006,2022,M,Y18,18.0,4,0
082006,2023,M,Y18,18.0,4,0
082006,2024,M,Y18,18.0,4,0
082006,2025,M,Y18,18.0,4,0
082006,2019,M,Y18,18.0,99,323
082006,2020,M,Y18,18.0,99,317
082006,2021,M,Y18,18.0,99,301
082006,2022,M,Y18,18.0,99,299
082006,2023,M,Y18,18.0,99,329
082006,2024,M,Y18,18.0,99,299
082006,2025,M,Y18,18.0,99,287
082006,2026,M,Y18,18.0,99,309
082006,2019,M,Y19,19.0,1,315
082006,2020,M,Y19,19.0,1,319
082006,2021,M,Y19,19.0,1,320
082006,2022,M,Y19,19.0,1,297
082006,2023,M,Y19,19.0,1,297
082006,2024,M,Y19,19.0,1,327
082006,2025,M,Y19,19.0,1,295
082006,2019,M,Y19,19.0,15,0
082006,2020,M,Y19,19.0,15,0
082006,2021,M,Y19,19.0,15,0
082006,2022,M,Y19,19.0,15,0
082006,2023,M,Y19,19.0,15,0
082006,2024,M,Y19,19.0,15,0
082006,2025,M,Y19,19.0,15,0
082006,2019,M,Y19,19.0,16,0
082006,2020,M,Y19,19.0,16,0
082006,2021,M,Y19,19.0,16,0
082006,2022,M,Y19,19.0,16,0
082006,2023,M,Y19,19.0,16,0
082006,2024,M,Y19,19.0,16,0
082006,2025,M,Y19,19.0,16,0
082006,2019,M,Y19,19.0,17,0
082006,2020,M,Y19,19.0,17,0
082006,2021,M,Y19,19.0,17,0
082006,2022,M,Y19,19.0,17,0
082006,2023,M,Y19,19.0,17,0
082006,2024,M,Y19,19.0,17,0
082006,2025,M,Y19,19.0,17,0
082006,2019,M,Y19,19.0,2,0
082006,2020,M,Y19,19.0,2,0
082006,2021,M,Y19,19.0,2,0
082006,2022,M,Y19,19.0,2,0
082006,2023,M,Y19,19.0,2,0
082006,2024,M,Y19,19.0,2,0
082006,2025,M,Y19,19.0,2,1
082006,2019,M,Y19,19.0,3,0
082006,2020,M,Y19,19.0,3,0
082006,2021,M,Y19,19.0,3,0
082006,2022,M,Y19,19.0,3,0
082006,2023,M,Y19,19.0,3,0
082006,2024,M,Y19,19.0,3,0
082006,2025,M,Y19,19.0,3,0
082006,2019,M,Y19,19.0,4,0
082006,2020,M,Y19,19.0,4,0
082006,2021,M,Y19,19.0,4,0
082006,2022,M,Y19,19.0,4,0
082006,2023,M,Y19,19.0,4,0
082006,2024,M,Y19,19.0,4,0
082006,2025,M,Y19,19.0,4,0
082006,2019,M,Y19,19.0,99,315
082006,2020,M,Y19,19.0,99,319
082006,2021,M,Y19,19.0,99,320
082006,2022,M,Y19,19.0,99,297
082006,2023,M,Y19,19.0,99,297
082006,2024,M,Y19,19.0,99,327
082006,2025,M,Y19,19.0,99,296
082006,2026,M,Y19,19.0,99,293
082006,2019,M,Y2,2.0,1,254
082006,2020,M,Y2,2.0,1,283
082006,2021,M,Y2,2.0,1,276
082006,2022,M,Y2,2.0,1,259
082006,2023,M,Y2,2.0,1,254
082006,2024,M,Y2,2.0,1,226
082006,2025,M,Y2,2.0,1,268
082006,2019,M,Y2,2.0,99,254
082006,2020,M,Y2,2.0,99,283
082006,2021,M,Y2,2.0,99,276
082006,2022,M,Y2,2.0,99,259
082006,2023,M,Y2,2.0,99,254
082006,2024,M,Y2,2.0,99,226
082006,2025,M,Y2,2.0,99,268
082006,2026,M,Y2,2.0,99,259
082006,2019,M,Y20,20.0,1,340
082006,2020,M,Y20,20.0,1,308
082006,2021,M,Y20,20.0,1,309
082006,2022,M,Y20,20.0,1,315
082006,2023,M,Y20,20.0,1,291
082006,2024,M,Y20,20.0,1,299
082006,2025,M,Y20,20.0,1,328
082006,2019,M,Y20,20.0,15,0
082006,2020,M,Y20,20.0,15,0
082006,2021,M,Y20,20.0,15,0
082006,2022,M,Y20,20.0,15,0
082006,2023,M,Y20,20.0,15,0
082006,2024,M,Y20,20.0,15,0
082006,2025,M,Y20,20.0,15,0
082006,2019,M,Y20,20.0,16,0
082006,2020,M,Y20,20.0,16,0
082006,2021,M,Y20,20.0,16,0
082006,2022,M,Y20,20.0,16,0
082006,2023,M,Y20,20.0,16,0
082006,2024,M,Y20,20.0,16,0
082006,2025,M,Y20,20.0,16,0
082006,2019,M,Y20,20.0,17,0
082006,2020,M,Y20,20.0,17,0
082006,2021,M,Y20,20.0,17,0
082006,2022,M,Y20,20.0,17,0
082006,2023,M,Y20,20.0,17,0
082006,2024,M,Y20,20.0,17,0
082006,2025,M,Y20,20.0,17,0
082006,2019,M,Y20,20.0,2,1
082006,2020,M,Y20,20.0,2,1
082006,2021,M,Y20,20.0,2,2
082006,2022,M,Y20,20.0,2,0
082006,2023,M,Y20,20.0,2,1
082006,2024,M,Y20,20.0,2,1
082006,2025,M,Y20,20.0,2,0
082006,2019,M,Y20,20.0,3,0
082006,2020,M,Y20,20.0,3,0
082006,2021,M,Y20,20.0,3,0
082006,2022,M,Y20,20.0,3,0
082006,2023,M,Y20,20.0,3,0
082006,2024,M,Y20,20.0,3,0
082006,2025,M,Y20,20.0,3,0
082006,2019,M,Y20,20.0,4,0
082006,2020,M,Y20,20.0,4,0
082006,2021,M,Y20,20.0,4,0
082006,2022,M,Y20,20.0,4,0
082006,2023,M,Y20,20.0,4,0
082006,2024,M,Y20,20.0,4,0
082006,2025,M,Y20,20.0,4,0
082006,2019,M,Y20,20.0,99,341
082006,2020,M,Y20,20.0,99,309
082006,2021,M,Y20,20.0,99,311
082006,2022,M,Y20,20.0,99,315
082006,2023,M,Y20,20.0,99,292
082006,2024,M,Y20,20.0,99,300
082006,2025,M,Y20,20.0,99,328
082006,2026,M,Y20,20.0,99,291
082006,2019,M,Y21,21.0,1,327
082006,2020,M,Y21,21.0,1,336
082006,2021,M,Y21,21.0,1,299
082006,2022,M,Y21,21.0,1,301
082006,2023,M,Y21,21.0,1,315
082006,2024,M,Y21,21.0,1,284
082006,2025,M,Y21,21.0,1,295
082006,2019,M,Y21,21.0,15,0
082006,2020,M,Y21,21.0,15,0
082006,2021,M,Y21,21.0,15,0
082006,2022,M,Y21,21.0,15,0
082006,2023,M,Y21,21.0,15,0
082006,2024,M,Y21,21.0,15,0
082006,2025,M,Y21,21.0,15,0
082006,2019,M,Y21,21.0,16,0
082006,2020,M,Y21,21.0,16,0
082006,2021,M,Y21,21.0,16,0
082006,2022,M,Y21,21.0,16,0
082006,2023,M,Y21,21.0,16,0
082006,2024,M,Y21,21.0,16,0
082006,2025,M,Y21,21.0,16,0
082006,2019,M,Y21,21.0,17,0
082006,2020,M,Y21,21.0,17,0
082006,2021,M,Y21,21.0,17,0
082006,2022,M,Y21,21.0,17,0
082006,2023,M,Y21,21.0,17,0
082006,2024,M,Y21,21.0,17,0
082006,2025,M,Y21,21.0,17,0
082006,2019,M,Y21,21.0,2,3
082006,2020,M,Y21,21.0,2,0
082006,2021,M,Y21,21.0,2,1
082006,2022,M,Y21,21.0,2,2
082006,2023,M,Y21,21.0,2,0
082006,2024,M,Y21,21.0,2,1
082006,2025,M,Y21,21.0,2,2
082006,2019,M,Y21,21.0,3,0
082006,2020,M,Y21,21.0,3,0
082006,2021,M,Y21,21.0,3,0
082006,2022,M,Y21,21.0,3,0
082006,2023,M,Y21,21.0,3,0
082006,2024,M,Y21,21.0,3,0
082006,2025,M,Y21,21.0,3,0
082006,2019,M,Y21,21.0,4,0
082006,2020,M,Y21,21.0,4,0
082006,2021,M,Y21,21.0,4,0
082006,2022,M,Y21,21.0,4,0
082006,2023,M,Y21,21.0,4,0
082006,2024,M,Y21,21.0,4,0
082006,2025,M,Y21,21.0,4,0
082006,2019,M,Y21,21.0,99,330
082006,2020,M,Y21,21.0,99,336
082006,2021,M,Y21,21.0,99,300
082006,2022,M,Y21,21.0,99,303
082006,2023,M,Y21,21.0,99,315
082006,2024,M,Y21,21.0,99,285
082006,2025,M,Y21,21.0,99,297
082006,2026,M,Y21,21.0,99,328
082006,2019,M,Y22,22.0,1,319
082006,2020,M,Y22,22.0,1,315
082006,2021,M,Y22,22.0,1,304
082006,2022,M,Y22,22.0,1,285
082006,2023,M,Y22,22.0,1,302
082006,2024,M,Y22,22.0,1,307
082006,2025,M,Y22,22.0,1,281
082006,2019,M,Y22,22.0,15,0
082006,2020,M,Y22,22.0,15,0
082006,2021,M,Y22,22.0,15,0
082006,2022,M,Y22,22.0,15,0
082006,2023,M,Y22,22.0,15,0
082006,2024,M,Y22,22.0,15,0
082006,2025,M,Y22,22.0,15,0
082006,2019,M,Y22,22.0,16,0
082006,2020,M,Y22,22.0,16,0
082006,2021,M,Y22,22.0,16,0
082006,2022,M,Y22,22.0,16,0
082006,2023,M,Y22,22.0,16,0
082006,2024,M,Y22,22.0,16,0
082006,2025,M,Y22,22.0,16,0
082006,2019,M,Y22,22.0,17,0
082006,2020,M,Y22,22.0,17,0
082006,2021,M,Y22,22.0,17,0
082006,2022,M,Y22,22.0,17,0
082006,2023,M,Y22,22.0,17,0
082006,2024,M,Y22,22.0,17,0
082006,2025,M,Y22,22.0,17,0
082006,2019,M,Y22,22.0,2,1
082006,2020,M,Y22,22.0,2,3
082006,2021,M,Y22,22.0,2,0
082006,2022,M,Y22,22.0,2,2
082006,2023,M,Y22,22.0,2,4
082006,2024,M,Y22,22.0,2,2
082006,2025,M,Y22,22.0,2,2
082006,2019,M,Y22,22.0,3,0
082006,2020,M,Y22,22.0,3,0
082006,2021,M,Y22,22.0,3,0
082006,2022,M,Y22,22.0,3,0
082006,2023,M,Y22,22.0,3,0
082006,2024,M,Y22,22.0,3,0
082006,2025,M,Y22,22.0,3,0
082006,2019,M,Y22,22.0,4,0
082006,2020,M,Y22,22.0,4,0
082006,2021,M,Y22,22.0,4,0
082006,2022,M,Y22,22.0,4,0
082006,2023,M,Y22,22.0,4,0
082006,2024,M,Y22,22.0,4,0
082006,2025,M,Y22,22.0,4,0
082006,2019,M,Y22,22.0,99,320
082006,2020,M,Y22,22.0,99,318
082006,2021,M,Y22,22.0,99,304
082006,2022,M,Y22,22.0,99,287
082006,2023,M,Y22,22.0,99,306
082006,2024,M,Y22,22.0,99,309
082006,2025,M,Y22,22.0,99,283
082006,2026,M,Y22,22.0,99,301
082006,2019,M,Y23,23.0,1,312
082006,2020,M,Y23,23.0,1,305
082006,2021,M,Y23,23.0,1,304
082006,2022,M,Y23,23.0,1,305
082006,2023,M,Y23,23.0,1,283
082006,2024,M,Y23,23.0,1,304
082006,2025,M,Y23,23.0,1,308
082006,2019,M,Y23,23.0,15,0
082006,2020,M,Y23,23.0,15,0
082006,2021,M,Y23,23.0,15,0
082006,2022,M,Y23,23.0,15,0
082006,2023,M,Y23,23.0,15,0
082006,2024,M,Y23,23.0,15,0
082006,2025,M,Y23,23.0,15,0
082006,2019,M,Y23,23.0,16,0
082006,2020,M,Y23,23.0,16,0
082006,2021,M,Y23,23.0,16,0
082006,2022,M,Y23,23.0,16,0
082006,2023,M,Y23,23.0,16,0
082006,2024,M,Y23,23.0,16,0
082006,2025,M,Y23,23.0,16,0
082006,2019,M,Y23,23.0,17,0
082006,2020,M,Y23,23.0,17,0
082006,2021,M,Y23,23.0,17,0
082006,2022,M,Y23,23.0,17,0
082006,2023,M,Y23,23.0,17,0
082006,2024,M,Y23,23.0,17,0
082006,2025,M,Y23,23.0,17,0
082006,2019,M,Y23,23.0,2,10
082006,2020,M,Y23,23.0,2,0
082006,2021,M,Y23,23.0,2,5
082006,2022,M,Y23,23.0,2,1
082006,2023,M,Y23,23.0,2,4
082006,2024,M,Y23,23.0,2,6
082006,2025,M,Y23,23.0,2,3
082006,2019,M,Y23,23.0,3,0
082006,2020,M,Y23,23.0,3,0
082006,2021,M,Y23,23.0,3,0
082006,2022,M,Y23,23.0,3,0
082006,2023,M,Y23,23.0,3,0
082006,2024,M,Y23,23.0,3,0
082006,2025,M,Y23,23.0,3,0
082006,2019,M,Y23,23.0,4,0
082006,2020,M,Y23,23.0,4,0
082006,2021,M,Y23,23.0,4,0
082006,2022,M,Y23,23.0,4,0
082006,2023,M,Y23,23.0,4,0
082006,2024,M,Y23,23.0,4,0
082006,2025,M,Y23,23.0,4,0
082006,2019,M,Y23,23.0,99,322
082006,2020,M,Y23,23.0,99,305
082006,2021,M,Y23,23.0,99,309
082006,2022,M,Y23,23.0,99,306
082006,2023,M,Y23,23.0,99,287
082006,2024,M,Y23,23.0,99,310
082006,2025,M,Y23,23.0,99,311
082006,2026,M,Y23,23.0,99,284
082006,2019,M,Y24,24.0,1,324
082006,2020,M,Y24,24.0,1,303
082006,2021,M,Y24,24.0,1,279
082006,2022,M,Y24,24.0,1,307
082006,2023,M,Y24,24.0,1,298
082006,2024,M,Y24,24.0,1,282
082006,2025,M,Y24,24.0,1,306
082006,2019,M,Y24,24.0,15,0
082006,2020,M,Y24,24.0,15,0
082006,2021,M,Y24,24.0,15,0
082006,2022,M,Y24,24.0,15,0
082006,2023,M,Y24,24.0,15,0
082006,2024,M,Y24,24.0,15,0
082006,2025,M,Y24,24.0,15,0
082006,2019,M,Y24,24.0,16,0
082006,2020,M,Y24,24.0,16,0
082006,2021,M,Y24,24.0,16,0
082006,2022,M,Y24,24.0,16,0
082006,2023,M,Y24,24.0,16,0
082006,2024,M,Y24,24.0,16,0
082006,2025,M,Y24,24.0,16,0
082006,2019,M,Y24,24.0,17,0
082006,2020,M,Y24,24.0,17,0
082006,2021,M,Y24,24.0,17,0
082006,2022,M,Y24,24.0,17,0
082006,2023,M,Y24,24.0,17,0
082006,2024,M,Y24,24.0,17,0
082006,2025,M,Y24,24.0,17,0
082006,2019,M,Y24,24.0,2,17
082006,2020,M,Y24,24.0,2,18
082006,2021,M,Y24,24.0,2,4
082006,2022,M,Y24,24.0,2,7
082006,2023,M,Y24,24.0,2,5
