anno,x,densita
2019,19.159,0.05160520835525995
2019,19.218,0.05247322406107552
2019,19.277,0.05332805220206609
2019,19.337,0.054169772209993174
2019,19.396,0.05499827400844129
2019,19.455,0.05581324000475006
2019,19.515,0.05661413797089233
2019,19.574,0.05740022537594516
2019,19.633,0.05817056525835441
2019,19.693,0.05892405323144703
2019,19.752,0.05965945472217946
2019,19.812,0.06037545107323666
2019,19.871,0.06107069271436993
2019,19.93,0.06174385725086931
2019,19.99,0.06239371004340738
2019,20.049,0.06301916467877167
2019,20.108,0.06361934066552895
2019,20.168,0.06419361573784452
2019,20.227,0.06474167031467333
2019,20.286,0.06526352193516986
2019,20.346,0.06575954786411532
2019,20.405,0.06623049451844305
2019,20.465,0.0666774728885804
2019,20.524,0.06710193969425451
2019,20.583,0.06750566459953086
2019,20.643,0.0678906843911411
2019,20.702,0.06825924557284997
2019,20.761,0.06861373732329067
2019,20.821,0.06895661718437913
2019,20.88,0.06929033217440238
2019,20.939,0.06961723824049136
2019,20.999,0.06993952107032031
2019,21.058,0.07025912126825667
2019,21.118,0.0705776667674867
2019,21.177,0.07089641510236765
2019,21.236,0.07121620781440229
2019,21.296,0.07153743882483697
2019,21.355,0.07186003809438829
2019,21.414,0.07218347132613492
2019,21.474,0.07250675587317981
2019,21.533,0.07282849241135554
2019,21.592,0.07314691135220083
2019,21.652,0.0734599324252592
2019,21.711,0.07376523537242592
2019,21.771,0.07406033928938009
2019,21.83,0.07434268783583832
2019,21.889,0.07460973732966454
2019,21.949,0.07485904464789156
2019,22.008,0.07508835188415455
2019,22.067,0.07529566485597071
2019,22.127,0.07547932281109745
2019,22.186,0.07563805703968733
2019,22.245,0.07577103654370976
2019,22.305,0.07587789942896811
2019,22.364,0.07595876924678278
2019,22.424,0.07601425609857866
2019,22.483,0.0760454429025159
2019,22.542,0.07605385778203765
2019,22.602,0.07604143404783874
2019,22.661,0.07601045968538565
2019,22.72,0.07596351861095116
2019,22.78,0.07590342620544666
2019,22.839,0.07583316176719622
2019,22.898,0.07575580053763285
2019,22.958,0.07567444784872822
2019,23.017,0.07559217772444674
2019,23.077,0.07551197795255667
2019,23.136,0.07543670324437626
2019,23.195,0.07536903763896598
2019,23.255,0.07531146680816678
2019,23.314,0.0752662604046088
2019,23.373,0.07523546409153258
2019,23.433,0.07522090042514393
2019,23.492,0.07522417734923109
2019,23.551,0.07524670272654047
2019,23.611,0.0752897030864243
2019,23.67,0.07535424462319247
2019,23.73,0.07544125443890566
2019,23.789,0.07555154008733103
2019,23.848,0.0756858056366806
2019,23.908,0.07584466271733938
2019,23.967,0.07602863534297358
2019,24.026,0.07623815767215349
2019,24.086,0.07647356429391393
2019,24.145,0.07673507305448672
2019,24.204,0.07702276087379292
2019,24.264,0.07733653341009146
2019,24.323,0.07767608980211797
2019,24.383,0.07804088403511704
