territorio,nome_comune,x,y,distanza_km,occ_2011,occ_2024,pct_2011,pct_2024,donne_15piu_2024,rango_2024,ruolo
083026,Frazzanò,478052,4212579,109.9,30.1,30.9,87.7,70.8,259,114,
083027,Furci Siculo,526305,4205423,158.5,35.2,37.8,97.2,97.9,1485,8,
083028,Furnari,510130,4217230,142.0,29.8,28.7,86.7,52.6,1841,185,
083029,Gaggi,519740,4191010,153.5,27.4,33.2,74.6,83.1,1357,66,
083030,Galati Mamertino,481498,4206805,113.7,32.5,28.6,93.6,52.1,1072,187,
083031,Gallodoro,526666,4195155,159.8,26.4,31.5,67.7,74.4,149,100,
083032,Giardini-Naxos,523221,4186786,157.7,32.7,37.4,94.1,97.2,4422,11,
083033,Gioiosa Marea,493144,4222553,125.2,32.3,35.6,92.8,93.1,3078,27,
083034,Graniti,519242,4194206,152.6,22.6,30.0,43.1,62.8,640,144,
083035,Gualtieri Sicaminò,530151,4221015,162.1,21.4,25.0,35.4,23.1,735,300,
083036,Itala,537464,4211603,169.3,24.3,25.7,55.1,29.5,697,275,
083037,Leni,485225,4266979,127.8,32.1,36.3,92.3,94.6,300,21,
083038,Letojanni,527468,4193910,160.8,35.3,38.7,97.4,99.2,1340,3,
083039,Librizzi,496769,4215262,128.6,29.1,32.3,83.3,78.2,718,85,
083040,Limina,523982,4199671,156.6,19.1,23.1,20.5,14.1,355,335,
083041,Lipari,494751,4259213,133.9,29.9,33.4,87.2,84.1,5514,62,
083042,Longi,479823,4202404,112.4,31.8,34.7,91.3,89.5,596,41,
083043,Malfa,485331,4269651,129.0,28.1,36.5,79.0,95.4,422,18,
083044,Malvagna,504911,4196943,138.0,27.8,24.2,76.9,20.0,297,312,
083045,Mandanici,528545,4207390,160.6,23.6,23.8,49.0,17.7,235,321,
083046,Mazzarrà Sant'Andrea,511634,4214859,143.5,26.8,25.4,70.8,25.1,607,292,
083047,Merì,522666,4223762,154.7,28.1,33.4,79.0,84.9,1020,59,
083048,Messina,544916,4225260,177.0,27.0,31.2,72.8,71.8,100317,110,
083049,Milazzo,521122,4231389,153.8,26.6,32.7,69.0,79.7,13722,79,
083050,Militello Rosmarino,470179,4206472,102.4,23.3,26.1,46.7,33.6,532,259,
083051,Mirto,478403,4215466,110.2,30.8,27.1,88.2,40.0,413,234,
