AnnoScolastico,territorio,DescrizioneComune,CodiceScuola,DenominazioneScuola,IndirizzoScuola,CAPScuola,DescrizioneTipologiaGradoIstruzioneScuola
202526,,CATANIA,CTTD034507,DE FELICE - GIUFFRIDA SERALE,PIAZZA ROMA 4,95125,ISTITUTO TECNICO COMMERCIALE
202526,,CATANIA,CTTF01000G,ISTITUTO TECNICO ARCHIMEDE,VIALE REGINA MARGHERITA 22,95123,ISTITUTO TECNICO INDUSTRIALE
202526,,CATANIA,CTTF010501,ISTITUTO TECNICO ARCHIMEDE,VIALE REGINA MARGHERITA 22,95123,ISTITUTO TECNICO INDUSTRIALE
202526,,CATANIA,CTTF01701B,VACCARINI,VIA ORCHIDEA 9,95123,ISTITUTO TECNICO INDUSTRIALE
202526,,CATANIA,CTTF02301P,GEMMELLARO - INFORMATICA,CORSO INDIPENDENZA 229,95122,ISTITUTO TECNICO INDUSTRIALE
202526,,CATANIA,CTTF03000R,ITI CANNIZZARO,VIA CARLO PISACANE 1,95122,ISTITUTO TECNICO INDUSTRIALE
202526,,CATANIA,CTTF030517,CANNIZZARO,VIA CARLO PISACANE 1,95122,ISTITUTO TECNICO INDUSTRIALE
202526,,CATANIA,CTTF04301X,ITI G.MARCONI,VIA VESCOVO MAURIZIO82,95126,ISTITUTO TECNICO INDUSTRIALE
202526,,CATANIA,CTTF043508,CORSO SERALE ISTITUTO TECNICO INDUSTR.,VIA VESCOVO MAURIZIO 82,95126,ISTITUTO TECNICO INDUSTRIALE
202526,,CATANIA,CTTH007018,DUCA DEGLI ABRUZZI,VIALE ARTALE ALAGONA 99,95126,ISTITUTO TECNICO NAUTICO
202526,,CATANIA,CTTH00750L,SERALE IST.TEC NAUTICO ABRUZZI,VIA ARTALE ALAGONA 97,95126,ISTITUTO TECNICO NAUTICO
202526,,CATANIA,CTTL01701G,G. B. VACCARINI,VIA ORCHIDEA 9,95123,ISTITUTO TECNICO PER GEOMETRI
202526,,CATANIA,CTTL017511,G.B. VACCARINI - SERALE,VIA ORCHIDEA,95123,ISTITUTO TECNICO PER GEOMETRI
202526,,CATANIA,CTTN02301A,GEMMELLARO - TURISMO,CORSO INDIPENDENZA N. 229,95122,ISTITUTO TECNICO PER IL TURISMO
202526,,CEFALU',PATD022015,ISTITUTO TECNICO,VIA PIETRAGROSSA N. 68/70,90015,IST TEC COMMERCIALE E PER GEOMETRI
202526,,CEFALU',PATD02251E,JACOPO DEL DUCA,VIA PIETRAGROSSA 68,90015,IST TEC COMMERCIALE E PER GEOMETRI
202526,,CERDA,PATF01301L,ISTITUTO TEC.INDUS.DI CERDA,VIA ROMA N. 42,90010,ISTITUTO TECNICO INDUSTRIALE
202526,,CERDA,PATF013501,ISTSUP.IISS STENIO T.IM. SEZ.CERDA,VIA ROMA N.42,90010,ISTITUTO TECNICO INDUSTRIALE
202526,,CIMINNA,PATD03901E,ITC SEZ. ST. CIMINNA,VIA C.A. DALLA CHIESA,90023,ISTITUTO TECNICO COMMERCIALE
202526,,COMISO,RGTD00301E,IST. TECN. ECONOMICO G. CARDUCCI,VIA HO CHI MIN,97013,ISTITUTO TECNICO COMMERCIALE
202526,,CORLEONE,PATA01401Q,IST.TEC.AGRARIO DON CALOGERO DI VINCENTI,PIAZZA SANTA MARIA,90034,ISTITUTO TECNICO AGRARIO
202526,,ENNA,ENTD021014,DUCA D'AOSTA,VIA SALVATORE MAZZA 3/5,94100,ISTITUTO TECNICO COMMERCIALE
202526,,ENNA,ENTD02151D,CORSO SERALE DUCA D'AOSTA - ENNA,VIA SALVATORE MAZZA N. 3,94100,ISTITUTO TECNICO COMMERCIALE
202526,,ERICE,TPTD02201L,"I.I.S.S. ""SCIASCIA E BUFALINO"" - CARCERE",VIA SAN CUSUMANO - CASA CIRCONDARIALE,91016,ISTITUTO TECNICO COMMERCIALE
202526,,ERICE,TPTD02202N,"IST.TEC. ECONOMICO ""SCIASCIA E BUFALINO""",VIA CESARO' N.36,91016,ISTITUTO TECNICO COMMERCIALE
202526,,FLORIDIA,SRTL029034,IIS EINAUDI ITG CASA CIRCOND. CAVADONNA,STR. MONASTERI 20,96100,ISTITUTO TECNICO PER GEOMETRI
202526,,FRANCOFONTE,SRTD01102B,IST. TEC. COMM. FRANCOFONTE,C.DA S. ANTONIO S.N.,96015,ISTITUTO TECNICO COMMERCIALE
